time,temperature,supersaturation,growth rate,nucleation rate,transform time,concentration,"$\mu_{s,0}$","$\mu_{s,1}$","$\mu_{s,2}$","$\mu_{s,3}$","$\mu_{s,4}$","$\mu_{n,0}$","$\mu_{n,1}$","$\mu_{n,2}$","$\mu_{n,3}$","$\mu_{n,4}$",PDF for size=0
min,$^oC$,-,$\mu m/min$,$1/(\mu m^3*min)$,\mu m,g/L,$1/\mu m^3$,$1/\mu m^2$,$1/\mu m$,-,$\mu m$,$1/\mu m^3$,$1/\mu m^2$,$1/\mu m$,-,$\mu m$,$1/\mu m^4$
0.0,32.0,0.0,0.0,0.0,0,492.9904,4.710811560361758e-13,4.7108115603617594e-11,4.720213145762058e-09,4.73922160591736e-07,4.7672612146351655e-05,0.0,0.0,0.0,0.0,0.0,0
1.0,31.95,0.0017154848481482933,1.5575302879889077,1.6061903362813744e-16,0.7787651439944538,492.990379445209,4.710811560361758e-13,4.742987013311239e-11,4.784795719908972e-09,4.836637676793283e-07,4.898140269319506e-05,5.818295530554496e-17,1.952543674313929e-17,1.1401974315310334e-17,8.469547185893165e-18,6.353414294967722e-18,1.0312417990633729e-16
2.0,31.9,0.00343498027976225,3.894626531172953,5.979418131728343e-16,3.504843553575384,492.9902960206293,4.710811560361758e-13,4.8692803122169825e-11,5.042564382229005e-09,5.232014792517724e-07,5.438301554583539e-05,4.121552145190971e-16,6.355534071372605e-16,1.459017341364736e-15,3.9464825461956375e-15,1.1105315338315558e-14,1.5352994912011523e-16
3.0,31.85,0.005158437000398195,6.6614648913933365,1.4298831817019367e-15,8.782889264858529,492.99011984024986,4.710811560361758e-13,5.116486517619821e-11,5.566636691246435e-09,6.066991085899191e-07,6.623271929665273e-05,1.3843645293418595e-15,5.235863378800337e-15,2.848677047812182e-14,1.8473841271405555e-13,1.3039910514773379e-12,2.146499613845232e-16
4.0,31.8,0.006885781274988918,9.753131175711893,2.971102441683317e-15,16.990187298411144,492.98980923815316,4.710811560361758e-13,5.5019900024343235e-11,6.435570122794177e-09,7.53901046947542e-07,8.844600654446392e-05,3.506360923527428e-15,2.4776401178603057e-14,2.522012746767527e-13,3.0315699348925015e-12,3.960578673500687e-11,3.0463062458159263e-16
5.0,31.75,0.008616887305782958,13.11319006178244,5.8538820346814556e-15,28.42334791715831,492.9892973698022,4.710811560361758e-13,6.039615692317925e-11,7.752789966719782e-09,9.96467283825576e-07,0.00012823924116873777,7.770480568540904e-15,8.769544575948371e-14,1.4501441068112084e-12,2.8430188652235662e-11,6.130641636266324e-10,4.46411743221981e-16
6.0,31.7,0.010351547915819739,16.70524318604309,1.1275342270461292e-14,43.33256454107108,492.98847812543204,4.710811560361758e-13,6.74110816438771e-11,9.65600147977554e-09,1.3845784341135636e-06,0.00019874916868644024,1.605503542583349e-14,2.610782564819266e-13,6.354219765780285e-12,1.8475388924161338e-10,5.94395937082412e-09,6.749582837489983e-16
7.0,31.65,0.012089433598102122,20.50320103957826,2.1433003509715272e-14,61.936786653881754,492.9871865233203,4.710811560361758e-13,7.616753040642049e-11,1.2324847889569644e-08,1.995959490765709e-06,0.00032351829746300064,3.188758654927256e-14,6.962241668890289e-13,2.325884370647409e-11,9.373995006351415e-10,4.200193373579218e-08,1.0453491368661006e-15
8.0,31.6,0.013830034914664715,24.48682827328573,4.0255910497801765e-14,84.43180131031374,492.985171211691,4.710811560361758e-13,8.675757015256495e-11,1.598745900456013e-08,2.9480159476631013e-06,0.0005439756737021888,6.178562922994358e-14,1.7243566712079289e-12,7.520944367198632e-11,4.0049375318091875e-09,2.3881950134078905e-07,1.643982227854293e-15
9.0,31.55,0.015572580366265909,28.639259013964185,7.459780102142997e-14,110.9948449539387,492.9820553513336,4.710811560361758e-13,9.926459827734939e-11,2.0926281897376458e-08,4.413697146939184e-06,0.00093141645987536,1.1752890406354049e-13,4.048790048106591e-12,2.2201095620758863e-10,1.5034808136136284e-08,1.1483893195625372e-06,2.6047392142742558e-15
10.0,31.5,0.017315912353634614,32.94531851864727,1.3617672381186146e-13,141.7871337202444,492.9772775998787,4.710811560361758e-13,1.1376452376394512e-10,2.7483342494624587e-08,6.641927743588385e-06,0.00160581531243692,2.1998334531682558e-13,9.123242360911403e-12,6.114195624789846e-10,5.1141393898715196e-08,4.859674467088207e-06,4.133416519703233e-15
11.0,31.45,0.0190582865631456,37.39008876645541,2.447893001524727e-13,176.95483736279576,492.96999667116097,4.710811560361758e-13,1.303262235653711e-10,3.606479085479903e-08,9.982935066944463e-06,0.0027641924464916665,4.054277220641975e-13,1.9869734786313557e-11,1.592808872066141e-09,1.6081118796272122e-07,1.856741849152709e-05,6.5469034235641045e-15
12.0,31.4,0.020797014233831616,41.95725971476721,4.339165020950164e-13,216.62851160340708,492.95892101939296,4.710811560361758e-13,1.4901129475245352e-10,4.7144498968374297e-08,1.4918899189528819e-05,0.004722210743555511,7.36160655599799e-13,4.2014211009971236e-11,3.9611402080497965e-09,4.7397112606516067e-07,6.524035404855053e-05,1.0341869441542576e-14
13.0,31.35,0.022527769936273423,46.62660961660413,7.612224213577232e-13,260.92044626909274,492.9419790551636,4.710811560361758e-13,1.6987285773268388e-10,6.1266103482021e-08,2.209980775853575e-05,0.007973246682801171,1.318865596935891e-12,8.654243936765386e-11,9.464615558484866e-09,1.3224294903720498e-06,0.00021365630173687447,1.632592263552968e-14
14.0,31.3,0.02424318329620554,51.36935847036642,1.3296112362951599e-12,309.91843031257804,492.9156482087583,4.710811560361758e-13,1.9295274067301906e-10,7.904217436307502e-08,3.2383389574890764e-05,0.013269231701788507,2.338056653867481e-12,1.742192547196921e-10,2.183405253101883e-08,3.517921799758513e-06,0.0006584911422136977,2.5883352953729728e-14
15.0,31.25,0.02592991034458044,56.138803288410585,2.331409757788266e-12,363.6725111919665,492.87356059212806,4.710811560361758e-13,2.1827550438882512e-10,1.0114756976700353e-07,4.6875838251819283e-05,0.02172645687318855,4.1206723861348e-12,3.440576822420321e-10,4.88384933921814e-08,8.972210862269365e-06,0.0019238056085578638,4.152938112718137e-14
16.0,31.2,0.027562542953183212,60.85093628482532,4.142003074905306e-12,422.16738097858445,492.8036068237034,4.710811560361758e-13,2.458359842806329e-10,1.2830029018031687e-07,6.696435147765856e-05,0.03495390250925384,7.266550526725236e-12,6.696212506177845e-10,1.063560250719429e-07,2.2037142387444584e-05,0.005356588030189781,6.806802537134036e-14
17.0,31.15,0.029091119469376092,65.34458185652989,7.512194496664655e-12,485.2651400492621,492.68200667145635,4.710811560361758e-13,2.7557343070903103e-10,1.612147555630969e-07,9.431896957675187e-05,0.05518506646794917,1.2916680759365682e-11,1.2911635569898815e-09,2.2639674128369209e-07,5.231292819693904e-05,0.014268053956431302,1.1496277553903975e-13
18.0,31.1,0.030416371373375203,69.3022893359078,1.3925842339122003e-11,552.5885756454809,492.46158045241725,4.710811560361758e-13,3.0731854709887895e-10,2.004945555962968e-07,0.0001308090747650784,0.0853484525327796,2.3291487430554272e-11,2.478792139278142e-09,4.72634169165792e-07,0.00012029022539675332,0.03641962706077917,2.009434677060021e-13
19.0,31.05,0.031344563701560635,72.10741935651069,2.6092594831329937e-11,623.2934299916901,492.05040747537845,4.710811560361758e-13,3.4068909244118604e-10,2.463982558559812e-07,0.00017821097564469613,0.12889895669257584,4.266942444996222e-11,4.748156109546157e-09,9.684643170722758e-07,0.00026775703401420874,0.08892478302613463,3.618572827065679e-13
20.0,31.0,0.031522116152458826,72.64706820788729,4.790440748104435e-11,695.6706737738891,491.2810783679109,4.710811560361758e-13,3.749029895277607e-10,2.983706041069563e-07,0.00023746932018470774,0.18900524363883792,7.870326129844206e-11,9.02560627656316e-09,1.937336838561232e-06,0.0005731096408806046,0.20598887819237263,6.594128113189758e-13
21.0,30.95,0.03040601057644467,69.27113032953021,8.127680142623867e-11,766.6297730425979,489.89728494019715,4.710811560361758e-13,4.0851936491108043e-10,3.542756641200814e-07,0.0003072430372681468,0.26646196776669967,1.4245513200854028e-10,1.6699315674951402e-08,3.7192399376206094e-06,0.001159162192855771,0.44419966020846774,1.1733142080921185e-12
22.0,30.9,0.027468040866207317,60.57568787748962,1.170591884591751e-10,831.5531821461078,487.6515397495748,4.710811560361758e-13,4.3932017073426783e-10,4.097101488695237e-07,0.0003821049889196213,0.3563685875524417,2.4227164542895815e-10,2.900648475985394e-08,6.636759702419522e-06,0.0021486344547693736,0.8643367816081874,1.9324450544568256e-12
23.0,30.85,0.022803257594789284,47.38072584972407,1.321823467691898e-10,885.5313890097146,484.59338494731827,4.710811560361758e-13,4.6486611363489544e-10,4.5874265734981385e-07,0.0004527095386721484,0.4467655824113966,3.6954823952786914e-10,4.5384719067297514e-08,1.060856539006588e-05,0.00352739237054127,1.4682963546078374,2.789791511181747e-12
24.0,30.8,0.01750725065116954,33.42670002554876,1.1550092685388467e-10,925.9351019473511,481.2452598238244,4.710811560361758e-13,4.838426621126257e-10,4.969594649603748e-07,0.0005104419217239205,0.5243007688089144,4.956243720494827e-10,6.271993739633661e-08,1.4929228584589691e-05,0.005056449145543461,2.1528613889672776,3.4553493693844973e-12
25.0,30.75,0.012891355540414049,22.31721228125372,8.419468774146891e-11,953.8070581007523,478.2278476941842,4.710811560361758e-13,4.968232315384033e-10,5.239815650709181e-07,0.0005526348082451183,0.5828660914954906,5.956949708755838e-10,7.773522385415695e-08,1.8786773714460304e-05,0.006444309401031809,2.7837377224195894,3.772634623016593e-12
26.0,30.7,0.009528274692154321,14.974235038461417,5.72113141096711e-11,972.4527817606099,475.8093814118141,4.710811560361758e-13,5.054697901769658e-10,5.423783647562572e-07,0.0005819924468081901,0.6245114096554748,6.656437712515206e-10,8.93096099647365e-08,2.1848903837674546e-05,0.007561144313355013,3.296838653657606,3.820650201010167e-12
27.0,30.65,0.007308766725952863,10.551641407173245,3.95765054696214e-11,985.2157199834272,473.93536223428634,4.710811560361758e-13,5.113904233775501e-10,5.551584478376668e-07,0.0006026830410238788,0.6542878229379313,7.13305770671453e-10,9.797598162829111e-08,2.420148816574333e-05,0.008428614466782839,3.698391518284009,3.7507439783460034e-12
28.0,30.6,0.005905770621203907,7.9639933663920255,2.9192976742383766e-11,994.4735373702099,472.44935210012244,4.710811560361758e-13,5.156973362504833e-10,5.645487139209622e-07,0.000618038434945486,0.6766082058896662,7.472150056676858e-10,1.0465306763540584e-07,2.6053574684283972e-05,0.009117529278626125,4.0190719160158155,3.665620424243175e-12
29.0,30.55,0.0050274252002652986,6.439053387735179,2.3237722983099866e-11,1001.6750607472735,471.21249550340036,4.710811560361758e-13,5.190590088877345e-10,5.719328176725948e-07,0.0006302033836445876,0.6944229363515122,7.731559411241272e-10,1.1007805485946292e-07,2.7585692980903964e-05,0.009691552290458797,4.287440111188662,3.6088725444274215e-12
30.0,30.5,0.004471085273158829,5.515576446364141,1.9798203691844147e-11,1007.6523756643231,470.1286539786853,4.710811560361758e-13,5.218573907023941e-10,5.7811621410093e-07,0.000640450856226554,0.7095189525002256,7.945199960450302e-10,1.1473437578512386e-07,2.8921029459172423e-05,0.0101949737869361,4.5236584141015035,3.5895076216186056e-12
31.0,30.45,0.00410842637932628,4.932845150406885,1.77693606742211e-11,1012.8765864627086,469.13707915833123,4.710811560361758e-13,5.243085050166587e-10,5.835595908945186e-07,0.0006495174145098756,0.722942648365654,8.132173062054007e-10,1.1891701080556633e-07,3.0136672562296238e-05,0.010655847901806383,4.74060616714371,3.6022538985954988e-12
32.0,30.4,0.003861279753339073,4.544970660570148,1.6535997318520734e-11,1017.6154943681971,468.2008366298354,4.710811560361758e-13,5.265352086159224e-10,5.885267126029335e-07,0.0006578277051639984,0.7353016389770757,8.303209858581016e-10,1.2280127669549328e-07,3.127916130133845e-05,0.011091254449301959,4.94616876093772,3.63830672483293e-12
33.0,30.35,0.0036829688470729574,4.269993661700765,1.5754983404411016e-11,1022.0229765293326,467.29791060594783,4.710811560361758e-13,5.286081542077183e-10,5.931697655804336e-07,0.0006656275910134975,0.746949014570585,8.464384935378556e-10,1.264903998420598e-07,3.2376092360586745e-05,0.011511381588991586,5.145068794362824,3.6896971407062254e-12
34.0,30.3,0.0035460000785966263,4.061635520800703,1.5233078088514964e-11,1026.1887911205833,466.41535384332315,4.710811560361758e-13,5.305685958798613e-10,5.975776137898092e-07,0.0006730606587638428,0.7580910531949324,8.619164306011412e-10,1.3004503936793283e-07,3.3443640275470783e-05,0.011922221868456725,5.34009190612342,3.7504788429445154e-12
35.0,30.25,0.003434355499570536,3.893691491337206,1.4860802087081186e-11,1030.1664546266522,465.54563323279035,4.710811560361758e-13,5.324411632464996e-10,6.018031221872833e-07,0.0006802120270828677,0.7688496178030458,8.769540198674617e-10,1.3350099368123938e-07,3.449120720156274e-05,0.012327260362949469,5.532860769484604,3.8166357350457565e-12
36.0,30.2,0.0033387766703738514,3.7512943178148723,1.4576112955930248e-11,1033.9889475312282,464.68439863002084,4.710811560361758e-13,5.342410645863851e-10,6.058786890960298e-07,0.0006871334586324112,0.7792982334006131,8.916669410152256e-10,1.3687967281039943e-07,3.55242386747504e-05,0.012728506989584512,5.724311251435448,3.885622326861527e-12
37.0,30.15,0.0032539259455808805,3.6259676750677907,1.4343961777526364e-11,1037.6775785276695,463.82914282170896,4.710811560361758e-13,5.359781536462323e-10,6.098250709116637e-07,0.0006938577204484452,0.7894828567701698,9.061235926828514e-10,1.401942262409341e-07,3.654590260799422e-05,0.013127117234077421,5.914980106262995,3.955898966269243e-12
38.0,30.1,0.0031767072257048792,3.5128184287992923,1.4144610602698434e-11,1041.246971579603,462.9784105248725,4.710811560361758e-13,5.376592165906146e-10,6.136563683076369e-07,0.0007004067384033657,0.7994337317862226,9.203657043221e-10,1.434530839021167e-07,3.755807375983237e-05,0.013523758878130317,6.105175639487231,4.026570370599305e-12
39.0,30.05,0.003105289716880126,3.4089498773132627,1.3966928063597888e-11,1044.7078557326593,462.1313394902045,4.710811560361758e-13,5.392892504322836e-10,6.173828227174237e-07,0.0007067961867852979,0.8091720873446987,9.344199852213695e-10,1.46661975936696e-07,3.8561901137658104e-05,0.013918824896415714,6.295077144330307,4.0971350610193815e-12
